SDP Name,Revenue,Qty,Products,City
CEO DHA HAFIZABAD,346156.35,10767.0,2,Ceo Dha Hafizabad
RGS INNOVATIVE HEALTH SCIENCES,345630.0,14.0,2,Rgs Innovative Health Sciences
RUYA AL-SIHIYA COMPANY,324346.39,531060.0,26,Ruya Al-Sihiya Company
ALLONS ENTERPRISES,315684.57,1037.0,20,Allons Enterprises
A.A. TRADERS,315327.67,943.0,31,A.A. Traders
CEO DHA CHINIOT,315250.0,11000.0,2,Ceo Dha Chiniot
SANTE (PRIVATE) LTD.,305200.0,278.0,2,Sante (Private) Ltd.
TABBA HEART INST. C/O M.ABDULLAH EN,299096.05,1684.0,3,Tabba Heart Inst. C/O M.Abdullah En
CEO DHA NAROWAL,298357.27,14767.0,3,Ceo Dha Narowal
CEO DHA GUJRANWALA,277460.94999999995,10600.0,2,Ceo Dha Gujranwala
FEROZSONS LABORTORIES LTD,276479.4,75.0,2,Ferozsons Labortories Ltd
ASPIN PHARMA (PVT.) LTD.,265500.0,255.0,2,Aspin Pharma (Pvt.) Ltd.
"The Children's Hospital, Lahore",247500.0,450.0,1,"The Children'S Hospital, Lahore"
MACTER INTERNATIONAL LTD.,242820.0,38.0,1,Macter International Ltd.
DYNAM PHARMA,213702.58,755.0,10,Dynam Pharma
SKY HEALTHCARE LTD,199225.64,178635.0,14,Sky Healthcare Ltd
BARRETT HODGSON PAKISTAN (PVT) LTD,193856.0,25.0,1,Barrett Hodgson Pakistan (Pvt) Ltd
ONCO PHARMA - KARACHI,188418.0,56.0,5,Onco Pharma - Karachi
CEO DHA KHANEWAL,184862.7,4734.0,1,Ceo Dha Khanewal
Q-PHARMA,178782.04,133176.0,20,Q-Pharma
IMRAN MEDICINE COMPANY - HAFIZABAD,162760.56,388.0,11,Imran Medicine Company - Hafizabad
LIFE PHARMA - QATAR,131529.72,113998.0,10,Life Pharma - Qatar
AMETHYST GLOBAL (THAILAND) CO.LTD,129734.7,43582.0,2,Amethyst Global (Thailand) Co.Ltd
OTSUKA PAKISTAN LTD,128135.4,60.0,1,Otsuka Pakistan Ltd
CEO DISTRICT HEALTH AUTHORITY,126658.56,589.0,1,Ceo District Health Authority
LIFE SUPPORT PVT LTD,119357.55,80399.0,10,Life Support Pvt Ltd
"NACOPHARM MB CO., LTD",118203.75,161412.0,1,"Nacopharm Mb Co., Ltd"
HILTON PHARMA,116213.2,42.0,2,Hilton Pharma
N.G.GROUP,100911.01,242169.0,5,N.G.Group
MH INTERNATIONAL GROUP LLC,99221.36,56185.0,17,Mh International Group Llc
ITMG SEA CO. LTD,96820.3,123462.0,13,Itmg Sea Co. Ltd
RATANAK PHARMA CO. LTD,94481.47,57353.0,22,Ratanak Pharma Co. Ltd
YPA ENTERPRISES PTE LTD.,84571.08,100462.0,11,Ypa Enterprises Pte Ltd.
AGA KHAN HEALTH SERVICES PAKISTAN,80165.45,5.0,1,Aga Khan Health Services Pakistan
DYNATIS PAKISTAN (PVT) LTD,65640.0,16.0,1,Dynatis Pakistan (Pvt) Ltd
AMETHYST CO. LTD,65498.55,15922.0,3,Amethyst Co. Ltd
SN INTERNATIONAL,58175.5,27509.0,11,Sn International
AL-HAMD MEDICARE,51425.0,200.0,1,Al-Hamd Medicare
LABOREX KENYA LIMITED,50598.47,53504.0,11,Laborex Kenya Limited
KER SOCIEDAD ANONIMA-HONDURAS,41259.23,42682.0,18,Ker Sociedad Anonima-Honduras
SAP HEALTH LIMITED COMPANY,32017.03,16690.0,10,Sap Health Limited Company
ZESH LIFE SCIENCE CO. LTD.,29542.9,63512.0,11,Zesh Life Science Co. Ltd.
ENERGIA PHARMA LTD. KENYA,27521.120000000003,47945.0,2,Energia Pharma Ltd. Kenya
PRIX PHARMA SH.P.K,26415.6,10257.0,3,Prix Pharma Sh.P.K
DUOC DAI NAM JOINT-STOCK CO,25339.53,196810.0,1,Duoc Dai Nam Joint-Stock Co
AVARI TOWERS,23135.6,10.0,1,Avari Towers
MEDDEC LLC,22377.399999999998,87582.0,4,Meddec Llc
Globe Pharmacy Ltd.,21607.690000000002,21023.0,7,Globe Pharmacy Ltd.
WESTGATE PHARMACEUTICALS,19253.25,4497.0,2,Westgate Pharmaceuticals
